Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.03664040565490723,0.03250765800476074,0.05216717720031738
teastore-webui| R2,2.6567328453063963,2.0350918769836426,4.781975507736206
teastore-webui| R5,5.873462915420532,5.298845052719116,6.289260625839233
teastore-webui| R10,14.508137488365174,13.044051885604858,16.88138246536255
teastore-webui| R20,30.05275845527649,28.60610294342041,31.454622507095337
teastore-persistence| R1,0.05353755950927734,0.048177242279052734,0.05909895896911621
teastore-persistence| R2,2.5640068531036375,1.8358991146087646,4.747028112411499
teastore-persistence| R5,5.852104759216308,4.472433805465698,6.692954778671265
teastore-persistence| R10,14.56791331768036,13.487926006317139,15.45726203918457
teastore-persistence| R20,30.09619700908661,28.518476247787476,31.72839045524597
