Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.03465611934661865,0.031682491302490234,0.03863811492919922
teastore-webui| R2,2.48714816570282,1.9791743755340576,3.196695566177368
teastore-webui| R5,5.932304215431214,5.260192632675171,6.2657575607299805
teastore-webui| R10,14.477191400527953,12.07927417755127,16.261487245559692
teastore-webui| R20,31.177199840545654,28.653114080429077,36.66376090049744
teastore-persistence| R1,0.03735585212707519,0.03549337387084961,0.04058527946472168
teastore-persistence| R2,2.4865036249160766,1.9874839782714844,3.173902750015259
teastore-persistence| R5,5.648042869567871,4.848870038986206,6.2508769035339355
teastore-persistence| R10,14.189560413360596,12.45476222038269,16.63817262649536
teastore-persistence| R20,31.153721690177917,27.84076738357544,36.261462450027466
