Microservice, Time before API, Time after API, Time last scaled ready, Time total, Replicas


teastore-recommender, 1716216946.6472085, 1716216946.661112, 1716216977.1060493, 30.45884084701538, 0
teastore-registry, 1716216946.6611528, 1716216946.6667407, 1716216975.088501, 28.427348136901855, 0
teastore-db, 1716216946.6668568, 1716216946.672759, 1716216978.1118782, 31.445021390914917, 0
teastore-webui, 1716216946.6992617, 1716216946.703938, 1716216985.964815, 39.26555323600769, 0
teastore-persistence, 1716216946.6685734, 1716216946.6827748, 1716216981.1962001, 34.527626752853394, 0
teastore-auth, 1716216946.6828544, 1716216946.6909628, 1716216985.2365675, 38.55371308326721, 0
teastore-image, 1716216946.691057, 1716216946.6974976, 1716216986.2435312, 39.5524742603302, 0







teastore-recommender, 1716217505.5088832, 1716217505.5209584, 1716217506.5504897, 1.0416064262390137, 1
teastore-registry, 1716217505.5240366, 1716217505.5320783, 1716217507.5572915, 2.033254861831665, 1
teastore-db, 1716217505.5321205, 1716217505.5440075, 1716217508.564981, 3.032860517501831, 1
teastore-persistence, 1716217505.5075443, 1716217505.5222495, 1716217506.5587606, 1.0512163639068604, 7
teastore-auth, 1716217505.5345566, 1716217505.545176, 1716217507.56415, 2.0295934677124023, 7
teastore-image, 1716217505.5453844, 1716217505.5530849, 1716217508.5699735, 3.0245890617370605, 7
teastore-webui, 1716217505.5095375, 1716217505.5309303, 1716217509.5609791, 4.051441669464111, 6



teastore-webui, 1716217569.5619779, 1716217569.567782, 1716217570.5748024, 1.012824535369873, 3
teastore-persistence, 1716217568.570746, 1716217568.5761704, 1716217569.5954916, 1.0247457027435303, 6
teastore-auth, 1716217568.5762038, 1716217568.5828097, 1716217570.6025503, 2.026346445083618, 6
teastore-image, 1716217568.5829258, 1716217568.5894175, 1716217571.608521, 3.025595188140869, 6
teastore-recommender, 1716217568.566639, 1716217568.5745327, 1716217572.6441019, 4.077462911605835, 2
teastore-registry, 1716217568.5745761, 1716217568.5819771, 1716217571.6366234, 3.062047243118286, 2
teastore-db, 1716217568.5828447, 1716217568.5911283, 1716217573.6517768, 5.068932056427002, 2


teastore-persistence, 1716217612.8935654, 1716217612.9039037, 1716217613.9252996, 1.0317342281341553, 4
teastore-auth, 1716217612.9039602, 1716217612.909621, 1716217614.930743, 2.026782751083374, 4
teastore-image, 1716217612.9108381, 1716217612.9180987, 1716217615.9370432, 3.026205062866211, 4
teastore-webui, 1716217612.8936315, 1716217612.9028249, 1716217628.0038748, 15.110243320465088, 9
teastore-recommender, 1716217612.896227, 1716217612.9107847, 1716217627.133739, 14.237512111663818, 8
teastore-registry, 1716217612.9108949, 1716217612.9203448, 1716217633.195585, 20.284690141677856, 8
teastore-db, 1716217612.9203703, 1716217612.9307714, 1716217634.202177, 21.281806707382202, 8

