Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.0465316653251648,0.03931236267089844,0.08618330955505371
teastore-webui| R2,3.990491795539856,2.9257073402404785,5.4041807651519775
teastore-webui| R5,9.604134964942933,7.054479360580444,12.418056011199951
teastore-webui| R10,15.712374138832093,12.680631160736084,18.596407413482666
teastore-persistence| R1,0.06974606513977051,0.06065225601196289,0.10881757736206055
teastore-persistence| R2,3.9789429664611817,2.9905271530151367,5.359279155731201
teastore-persistence| R5,9.556821215152741,7.774404287338257,11.526951551437378
teastore-persistence| R10,15.92440915107727,11.516356229782104,19.007216453552246
teastore-recommender| R1,0.09456673860549927,0.0831289291381836,0.13338828086853027
teastore-recommender| R2,4.173494136333465,3.589245319366455,5.434130430221558
teastore-recommender| R5,9.59490591287613,7.5096704959869385,11.773969173431396
teastore-recommender| R10,16.154316508769988,13.003594398498535,18.62508249282837
