Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.046284401416778566,0.04034161567687988,0.0687873363494873
teastore-webui| R2,4.161964571475982,3.098799705505371,5.712632894515991
teastore-webui| R5,10.265547919273377,7.866957902908325,12.810242891311646
teastore-webui| R10,15.565973937511444,11.910378694534302,17.579991340637207
teastore-webui| R20,22.196550047397615,20.133191108703613,23.901326656341553
teastore-persistence| R1,0.07005956172943115,0.0628809928894043,0.08481740951538086
teastore-persistence| R2,4.302079904079437,3.6737098693847656,5.688292503356934
teastore-persistence| R5,10.134910011291504,6.910550594329834,12.589202165603638
teastore-persistence| R10,15.536733162403106,11.852379322052002,17.57432985305786
teastore-persistence| R20,22.385695111751556,19.90371084213257,24.363601446151733
teastore-recommender| R1,0.09490394592285156,0.08492779731750488,0.11130619049072266
teastore-recommender| R2,4.121601784229279,2.9950664043426514,5.319314956665039
teastore-recommender| R5,10.538334453105927,8.144681453704834,13.138941526412964
teastore-recommender| R10,15.488413834571839,12.888054132461548,16.988244771957397
teastore-recommender| R20,22.558462023735046,20.905060291290283,24.28551411628723
